1---正在获取第1页Sun Oct  7 18:39:29 2018
009-2-评论页网络-出错:B00B5PWXV8商品---Sun Oct  7 18:40:11 2018
009-2-评论页网络-出错:B016VSS2TA商品---Sun Oct  7 18:40:13 2018
009-2-评论页网络-出错:B01HYVE7CO商品---Sun Oct  7 18:40:33 2018
009-2-评论页网络-出错:B015H2F8AM商品---Sun Oct  7 18:40:38 2018
009-2-评论页网络-出错:B01EO65W1M商品---Sun Oct  7 18:40:40 2018
009-2-评论页网络-出错:B06VWPLNBD商品---Sun Oct  7 18:40:43 2018
009-2-评论页网络-出错:B01LWPB04L商品---Sun Oct  7 18:40:44 2018
009-2-评论页网络-出错:B01I0ZCBSA商品---Sun Oct  7 18:40:47 2018
009-2-评论页网络-出错:B01LW3WODR商品---Sun Oct  7 18:40:56 2018
009-2-评论页网络-出错:B01EO7V6C0商品---Sun Oct  7 18:41:03 2018
009-2-评论页网络-出错:B01I539NFQ商品---Sun Oct  7 18:41:05 2018
009-2-评论页网络-出错:B00LMCH0HG商品---Sun Oct  7 18:41:08 2018
009-2-评论页网络-出错:B00UK2KRBK商品---Sun Oct  7 18:41:14 2018
009-2-评论页网络-出错:B01M5GL6QX商品---Sun Oct  7 18:41:15 2018
009-2-评论页网络-出错:B071RHK3Z6商品---Sun Oct  7 18:41:19 2018
009-2-评论页网络-出错:B01MQNR9HI商品---Sun Oct  7 18:41:55 2018
1---正在获取第2页Sun Oct  7 19:03:58 2018
009-2-评论页网络-出错:B06WW5YW3Y商品---Sun Oct  7 19:05:19 2018
009-2-评论页网络-出错:B00I8HUTY4商品---Sun Oct  7 19:05:22 2018
009-2-评论页网络-出错:B017B98GY4商品---Sun Oct  7 19:05:25 2018
009-2-评论页网络-出错:B0747J365L商品---Sun Oct  7 19:05:33 2018
009-2-评论页网络-出错:B01DZLNZZW商品---Sun Oct  7 19:05:37 2018
009-2-评论页网络-出错:B00CJNYZKW商品---Sun Oct  7 19:05:38 2018
009-2-评论页网络-出错:B00IOB63X0商品---Sun Oct  7 19:05:38 2018
009-2-评论页网络-出错:B071XZC53V商品---Sun Oct  7 19:05:45 2018
009-2-评论页网络-出错:B006WWAWS0商品---Sun Oct  7 19:05:49 2018
009-2-评论页网络-出错:B01I539Z8G商品---Sun Oct  7 19:06:09 2018
009-2-评论页网络-出错:B008M29QLM商品---Sun Oct  7 19:06:10 2018
009-2-评论页网络-出错:B072B84F6M商品---Sun Oct  7 19:06:31 2018
1---正在获取第3页Sun Oct  7 19:44:54 2018
009-1-评论页网络-出错:B001TFE38A商品---Sun Oct  7 19:45:06 2018
